gene,local_uniprot,local_protein_name,local_ec_number,local_mass_da,local_organism
GA0070618_3750,A0A1C4YAL8,Uncharacterized protein,,15119,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3751,A0A1C4YAG3,Muramoyltetrapeptide carboxypeptidase,,32300,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3752,A0A1C4YAQ9,GMP synthase-Glutamine amidotransferase,,29370,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3753,A0A1C4YAN6,Glutamate-ammonia-ligase adenylyltransferase,,106911,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3754,A0A1C4YAP5,4-amino-4-deoxy-L-arabinose transferase,,59019,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3755,A0A1C4YAK3,"Alpha-1,6-mannosyltransferase",,54267,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3756,A0A1C4YAK7,Glutamine synthetase (EC 6.3.1.2),6.3.1.2,53258,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3757,A0A1C4YAU5,RDD family protein,,14218,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3758,A0A1C4YAJ5,Uncharacterized protein,,47169,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3759,A0A1C4YBR7,"RNA polymerase sigma-70 factor, sigma-E family",,20163,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3760,A0A1C4YBS8,DUF4191 domain-containing protein,,25396,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3761,A0A1C4YAQ1,UDP-galactopyranose mutase,,55344,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3762,A0A1C4YAN7,Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA),2.8.1.8,36346,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3763,A0A1C4YAP6,Aspartate--tRNA(Asp/Asn) ligase (EC 6.1.1.23) (Aspartyl-tRNA synthetase) (AspRS) (Non-discriminating aspartyl-tRNA synthetase) (ND-AspRS),6.1.1.23,45898,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3764,A0A1C4YAT0,Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase),2.3.1.181,22875,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3765,A0A1C4YAZ7,DUF2079 domain-containing protein,,69479,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3766,A0A1C4YAV0,Feruloyl esterase,,41417,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3767,A0A1C4YB18,TIGR01777 family protein,,32045,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3768,A0A1C4YAW6,Antibiotic biosynthesis monooxygenase,,12500,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3769,A0A1C4YB44,Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.-),2.3.1.-,63606,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3770,A0A1C4YAZ4,Dihydrolipoyl dehydrogenase (EC 1.8.1.4),1.8.1.4,50958,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3771,A0A1C4YB05,Oxidoreductase,,13084,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3772,A0A1C4YB03,Probable cytosol aminopeptidase (EC 3.4.11.1) (Leucine aminopeptidase) (LAP) (EC 3.4.11.10) (Leucyl aminopeptidase),3.4.11.1; 3.4.11.10,53028,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3773,A0A1C4YBC2,aminomethyltransferase (EC 2.1.2.10) (Glycine cleavage system T protein),2.1.2.10,39790,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3774,A0A1C4YAZ1,"Uncharacterized protein, contains caspase domain",,67388,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3775,A0A1C4YB01,Uncharacterized protein,,14479,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3776,A0A1C4YBA2,DUF2314 domain-containing protein,,46164,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3777,A0A1C4YC89,Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase),2.7.8.26,25237,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3778,A0A1C4YC99,Adenosylcobinamide kinase (EC 2.7.1.156) (EC 2.7.7.62) (Adenosylcobinamide-phosphate guanylyltransferase),2.7.1.156; 2.7.7.62,65159,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3779,A0A1C4YCA7,Acyl-CoA synthetase,,66407,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3780,A0A1C4YB80,Uncharacterized protein,,7310,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3781,A0A1C4YB91,Zn-dependent protease (Includes SpoIVFB),,28891,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3782,A0A1C4YB96,Predicted oxidoreductase,,36384,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3783,A0A1C4YBA5,WG containing repeat-containing protein,,183486,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3784,A0A1C4YBB5,ABC-2 type transport system permease protein,,30911,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3785,A0A1C4YBA0,ABC-2 type transport system permease protein,,28677,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3786,A0A1C4YBH8,ABC-2 type transport system ATP-binding protein,,35467,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3787,A0A1C4YBJ1,DUF3043 family protein,,23769,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3788,A0A1C4YBG1,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT),2.5.1.7,48596,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3789,A0A1C4YBH9,Quinolinate synthase (EC 2.5.1.72),2.5.1.72,44461,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3790,A0A1C4YBF5,Glycerate kinase,,37383,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3791,A0A1C4YBS4,Iron-sulfur cluster assembly accessory protein,,12924,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3792,A0A1C4YBH6,Adenosine kinase,,34967,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3794,A0A1C4YBL8,tRNA 2-thiouridine synthesizing protein A,,8084,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3795,A0A1C4YBV2,Cysteine desulfurase,,39345,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3796,A0A1C4YBL2,cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 2),7.1.1.9,35796,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3797,A0A1C4YCR6,Cytochrome c oxidase polypeptide 4 (EC 7.1.1.9) (Cytochrome aa3 subunit 4) (Cytochrome c oxidase polypeptide IV),7.1.1.9,15321,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3798,A0A1C4YBQ5,Uncharacterized protein,,7398,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3799,A0A1C4YBQ8,Anthranilate phosphoribosyltransferase (EC 2.4.2.18),2.4.2.18,35861,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3800,A0A1C4YBM0,Response regulator receiver protein,,14612,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3801,A0A1C4YBN0,Putative copper resistance protein D,,34312,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3802,A0A1C4YBX0,cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III),7.1.1.9,24126,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3803,A0A1C4YBS3,Cytochrome bc1 complex cytochrome c subunit (EC 7.1.1.8),7.1.1.8,29240,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3804,A0A1C4YBV6,Cytochrome bc1 complex Rieske iron-sulfur subunit (Cytochrome bc1 reductase complex subunit QcrA) (Rieske iron-sulfur protein),,39672,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3805,A0A1C4YC40,Cytochrome bc1 complex cytochrome b subunit (EC 7.1.1.8) (Cytochrome bc1 reductase complex subunit QcrB),7.1.1.8,59794,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3806,A0A1C4YC50,Predicted outer membrane protein,,24568,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3807,A0A1C4YBW8,"Transcriptional regulator, AsnC family",,10075,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3808,A0A1C4YBW3,"NDP-sugar pyrophosphorylase, includes eIF-2Bgamma, eIF-2Bepsilon, and LPS biosynthesis proteins",,29827,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3809,A0A1C4YC10,GTP pyrophosphokinase,,66119,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3810,A0A1C4YBY7,DNA polymerase-3 subunit epsilon,,61743,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3811,A0A1C4YC09,Predicted RNA-binding protein containing a PIN domain,,50744,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3812,A0A1C4YC44,Uncharacterized protein,,7344,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3813,A0A1C4YC54,STE24 endopeptidase,,44538,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3814,A0A1C4YC64,"Phosphatidylinositol alpha-1,6-mannosyltransferase",,40723,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3815,A0A1C4YC74,Diguanylate cyclase/phosphodiesterase,,61927,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3816,A0A1C4YC12,S-adenosyl methyltransferase,,29527,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3817,A0A1C4YC24,"Two component transcriptional regulator, LuxR family",,23370,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3818,A0A1C4YC34,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",,59742,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3819,A0A1C4YDB1,Acyl-CoA synthetase,,64637,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3820,A0A1C4YDC3,Polyketide cyclase / dehydrase and lipid transport,,17174,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3821,A0A1C4YCF3,Uncharacterized protein,,20691,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3822,A0A1C4YDE3,Glucokinase (EC 2.7.1.2) (Glucose kinase),2.7.1.2,32137,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3823,A0A1C4YCH0,"Metal-dependent hydrolase, endonuclease/exonuclease/phosphatase family",,24821,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3824,A0A1C4YCF4,Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD,,52565,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3825,A0A1C4YCD3,"Lysophospholipase, alpha-beta hydrolase superfamily",,29238,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3826,A0A1C4YDI5,Trehalose 6-phosphate synthase,,51890,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3827,A0A1C4YCB5,DUF308 domain-containing protein,,29083,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3828,A0A1C4YCM0,1-acyl-sn-glycerol-3-phosphate acyltransferase,,25190,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3829,A0A1C4YCN1,AAA ATPase domain-containing protein,,126847,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3830,A0A1C4YCE5,Uncharacterized protein,,6428,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3831,A0A1C4YCK1,cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,,24920,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3832,A0A1C4YCF7,3'-5' exoribonuclease (EC 3.1.13.-),3.1.13.-,19415,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3833,A0A1C4YCM1,General stress protein 26,,18635,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3834,A0A1C4YCI0,"Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)",2.7.1.90,36649,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3835,A0A1C4YCJ1,Pyrroline-5-carboxylate reductase (P5C reductase) (P5CR) (EC 1.5.1.2) (PCA reductase),1.5.1.2,28457,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3836,A0A1C4YDT4,Putative oxidoreductase,,15529,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3837,A0A1C4YCR3,Concanavalin A-like lectin/glucanases superfamily protein,,245775,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3838,A0A1C4YCU8,DNA polymerase-3 subunit epsilon,,30403,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3839,A0A1C4YCV6,5-methylcytosine-specific restriction enzyme B,,100625,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3840,A0A1C4YCU0,5-methylcytosine-specific restriction enzyme subunit McrC,,44878,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3841,A0A1C4YCU9,GDSL-like Lipase/Acylhydrolase family protein,,27892,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3842,A0A1C4YCY6,DNA-binding MarR family transcriptional regulator,,15720,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3843,A0A1C4YCS1,Glutathione peroxidase,,17331,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3844,A0A1C4YCY1,Chitinase family 18,,56071,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3845,A0A1C4YD30,Lipoprotein,,17004,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3846,A0A1C4YD46,Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54),2.5.1.54,51191,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3847,A0A1C4YE65,L-threonine aldolase,,36229,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3848,A0A1C4YD26,Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV),3.1.21.2,29498,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3849,A0A1C4YD36,non-specific serine/threonine protein kinase (EC 2.7.11.1),2.7.11.1,71685,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3850,A0A1C4YD91,Helix-turn-helix domain-containing protein,,13614,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3851,A0A1C4YE98,Lycopene cyclase domain-containing protein,,15293,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3852,A0A1C4YD61,Lycopene cyclase domain-containing protein,,13490,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3853,A0A1C4YD18,"Geranylgeranyl diphosphate synthase, type I",,38431,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3854,A0A1C4YD76,Helix-turn-helix domain,,46848,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3855,A0A1C4YDE0,Methylenetetrahydrofolate reductase (EC 1.5.1.54),1.5.1.54,33244,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3856,A0A1C4YD94,CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,,24701,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3857,A0A1C4YDB0,Phytoene desaturase,,53018,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3858,A0A1C4YDG8,Glycosyltransferase like family 2,,40297,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3859,A0A1C4YDC2,Putative membrane protein,,31959,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3860,A0A1C4YD93,Ribosomal protein S18 acetylase RimI,,22931,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3861,A0A1C4YDA3,Spheroidene monooxygenase,,26885,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3862,A0A1C4YDF7,Uncharacterized protein,,6286,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3863,A0A1C4YDQ8,Threonine/homoserine efflux transporter RhtA,,34432,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3864,A0A1C4YDC5,SAV-6107-like HEPN domain-containing protein,,15207,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3865,A0A1C4YDH4,Uncharacterized protein,,25046,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3866,A0A1C4YDI7,Protein ImuB,,62825,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3867,A0A1C4YDJ6,Error-prone DNA polymerase (EC 2.7.7.7),2.7.7.7,121653,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3868,A0A1C4YDJ5,Uncharacterized protein,,10349,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3869,A0A1C4YEP0,Flavin reductase,,8062,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3870,A0A1C4YDL3,"Transcriptional regulator, AlpA family",,13294,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3871,A0A1C4YDM4,Probable membrane transporter protein,,25065,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3872,A0A1C4YDN4,Uncharacterized protein,,6401,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3873,A0A1C4YDP5,Methyltransferase domain-containing protein,,26502,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3874,A0A1C4YDQ0,Type I phosphodiesterase / nucleotide pyrophosphatase,,41008,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3875,A0A1C4YE15,DNA polymerase IV (Pol IV) (EC 2.7.7.7),2.7.7.7,45016,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3876,A0A1C4YDS3,DUF3040 family protein,,14680,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3877,A0A1C4YDS8,Transglutaminase-like superfamily protein,,88143,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3878,A0A1C4YDT8,"Uncharacterized conserved protein, DUF58 family, contains vWF domain",,46116,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3880,A0A1C4YDU8,Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS),6.1.1.4,105287,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3881,A0A1C4YDV7,Uncharacterized protein,,12118,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3882,A0A1C4YEZ3,Gluconokinase (EC 2.7.1.12),2.7.1.12,19604,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3883,A0A1C4YE11,D-mannonate dehydratase,,45482,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3884,A0A1C4YDY9,2-dehydro-3-deoxygluconokinase,,32851,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3885,A0A1C4YEA2,2-keto-3-deoxy-phosphogluconate aldolase,,20552,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3886,A0A1C4YEB2,Galactonate dehydratase,,41669,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3887,A0A1C4YEC1,"Carbohydrate ABC transporter membrane protein 2, CUT1 family",,29583,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3888,A0A1C4YE06,"Carbohydrate ABC transporter membrane protein 1, CUT1 family",,35049,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3889,A0A1C4YE17,"Carbohydrate ABC transporter substrate-binding protein, CUT1 family",,45506,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3890,A0A1C4YE27,"Transcriptional regulator, GntR family",,28088,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3891,A0A1C4YEC6,TVP38/TMEM64 family membrane protein,,24243,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3892,A0A1C4YED5,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD (EC 6.3.5.13) (Lipid II isoglutaminyl synthase glutaminase subunit) (EC 3.5.1.2),3.5.1.2; 6.3.5.13,25178,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3893,A0A1C4YE83,Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT (EC 6.3.5.13),6.3.5.13,44724,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3894,A0A1C4YE89,Transcriptional regulator MraZ,,16005,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3895,A0A1C4YEK4,Ribosomal RNA small subunit methyltransferase H (EC 2.1.1.199) (16S rRNA m(4)C1402 methyltransferase) (rRNA (cytosine-N(4)-)-methyltransferase RsmH),2.1.1.199,40245,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3896,A0A1C4YEA4,Cell division protein FtsB,,21307,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3897,A0A1C4YE81,Peptidoglycan synthetase FtsI,,77029,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3898,A0A1C4YE92,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13) (Meso-A2pm-adding enzyme) (Meso-diaminopimelate-adding enzyme) (UDP-MurNAc-L-Ala-D-Glu:meso-diaminopimelate ligase) (UDP-MurNAc-tripeptide synthetase) (UDP-N-acetylmuramyl-tripeptide synthetase)",6.3.2.13,52096,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3899,A0A1C4YED6,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10) (D-alanyl-D-alanine-adding enzyme),6.3.2.10,48263,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3900,A0A1C4YEB1,Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13) (UDP-MurNAc-pentapeptide phosphotransferase),2.7.8.13,39421,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3901,A0A1C4YFI8,Probable peptidoglycan glycosyltransferase FtsW (EC 2.4.99.28) (Cell division protein FtsW) (Cell wall polymerase) (Peptidoglycan polymerase),2.4.99.28,53874,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3902,A0A1C4YFJ7,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227) (Undecaprenyl-PP-MurNAc-pentapeptide-UDPGlcNAc GlcNAc transferase),2.4.1.227,39520,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3903,A0A1C4YEH3,UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase),6.3.2.8,54360,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3904,A0A1C4YEN6,Cell division protein FtsQ,,29053,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3905,A0A1C4YEG7,Cell division protein FtsZ,,38314,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3906,A0A1C4YEK3,Pyridoxal phosphate homeostasis protein (PLP homeostasis protein),,25748,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3907,A0A1C4YER0,Cell division protein SepF,,26237,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3908,A0A1C4YEN2,YggT family protein,,11114,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3909,A0A1C4YEP3,Cell wall synthesis protein Wag31 (Antigen 84),,28979,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3910,A0A1C4YEW7,Uncharacterized protein,,21336,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3911,A0A1C4YER1,UPF0235 protein GA0070618_3911,,10213,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3912,A0A1C4YET2,"Potassium/proton antiporter, CPA1 family",,52467,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3913,A0A1C4YEW0,"Transcriptional regulator, TraR/DksA family",,17669,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3914,A0A1C4YEU9,Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II),3.4.23.36,23166,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3915,A0A1C4YF02,Pseudouridine synthase (EC 5.4.99.-),5.4.99.-,33557,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3916,A0A1C4YEY9,Uncharacterized protein,,34737,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3917,A0A1C4YEZ5,MinD-like ATPase involved in chromosome partitioning or flagellar assembly,,64150,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3918,A0A1C4YG29,DUF2567 domain-containing protein,,29083,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3919,A0A1C4YF19,Lon N-terminal domain-containing protein,,25427,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3920,A0A1C4YF62,Histidinol dehydrogenase (HDH) (EC 1.1.1.23),1.1.1.23,46315,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3921,A0A1C4YF44,Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase),2.6.1.9,39276,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3922,A0A1C4YFD2,Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19),4.2.1.19,21924,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3923,A0A1C4YF53,PEP-CTERM protein-sorting domain-containing protein,,5630,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3924,A0A1C4YF65,Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH),3.5.1.2; 4.3.2.10,21033,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3925,A0A1C4YF71,DUF3040 family protein,,12415,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3926,A0A1C4YF81,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase),5.3.1.16,25171,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3927,A0A1C4YFI2,"Transcriptional regulator, MarR family",,16548,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3928,A0A1C4YFA2,"Peroxiredoxin, Ohr subfamily",,14687,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3929,A0A1C4YFC8,Enoyl reductase (ER) domain-containing protein,,35293,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3930,A0A1C4YFF8,Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),4.3.2.10,27852,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3931,A0A1C4YFI9,Uncharacterized protein,,16794,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3932,A0A1C4YFQ3,Uncharacterized membrane protein YczE,,22261,Micromonospora echinospora (Micromonospora purpurea)
GA0070618_3933,A0A1C4YFJ3,"Transcriptional regulator, GntR family",,52081,Micromonospora echinospora (Micromonospora purpurea)
